培养单位代码,优秀论文篇次
10286,10
10336,8
10486,7
10248,6
10487,6
10269,6
10007,6
10533,6
10247,5
10292,5
10287,5
10298,4
10698,4
10614,4
10353,4
10356,4
91002,4
10335,3
10657,3
10701,3
11646,3
10386,3
10254,3
10613,3
10289,3
10246,2
10611,2
91004,2
10294,2
10358,2
10252,2
10284,2
91024,2
10425,2
10459,2
10013,2
11664,2
10408,2
10291,2
10699,2
10304,2
10476,2
90031,2
10357,2
10422,2
10712,2
10004,1
10005,1
10338,1
10534,1
11287,1
11482,1
10532,1
10217,1
10079,1
10251,1
10704,1
10056,1
10108,1
10270,1
10003,1
83201,1
10561,1
10424,1
10280,1
10300,1
10530,1
11049,1
10319,1
10593,1
10293,1
10016,1
10710,1
10009,1
10147,1
10615,1
10384,1
10558,1
11117,1
10351,1
10006,1
10635,1
10674,1
10065,1
10255,1
10403,1
10673,1
10703,1
10404,1
10555,1
10730,1
10385,1
10446,1
10148,1
