# 教育部标准培养单位代码 → 单位名称 参考对照（节选）
# 说明：本表为教育部学位授予单位（研究生培养单位）标准代码，仅供将优秀论文队伍编号中的
#       5 位培养单位代码还原为单位名称时参考，请以研创网 / 学信网 / 官方公布的代码表为准。
# 注意：本表为节选，不代表任何获奖统计口径；代码与名称若与官方最新代码表不一致，以官方为准。
培养单位代码,培养单位名称
10001,北京大学
10003,清华大学
10006,北京航空航天大学
10007,北京理工大学
10010,北京化工大学
10013,北京邮电大学
10056,天津大学
10213,哈尔滨工业大学
10246,复旦大学
10247,同济大学
10248,上海交通大学
10269,华东师范大学
10284,南京大学
10286,东南大学
10287,南京航空航天大学
10292,常州大学
10335,浙江大学
10336,杭州电子科技大学
10422,山东大学
10486,武汉大学
10487,华中科技大学
10533,中南大学
10558,中山大学
10611,重庆大学
10613,西南交通大学
10614,电子科技大学
10698,西安交通大学
10699,西北工业大学
10701,西安电子科技大学
90002,国防科技大学
