年份,届次,题号,文件名,本地相对路径,大小KB,是否压缩包,备注
2020,第十七届,A,A题.zip,2020年研究生数学建模竞赛优秀论文选\2020年优秀论文\A题.zip,12130,是,需解压后阅读
2020,第十七届,B,B题.zip,2020年研究生数学建模竞赛优秀论文选\2020年优秀论文\B题.zip,27546,是,需解压后阅读
2020,第十七届,C,C题.zip,2020年研究生数学建模竞赛优秀论文选\2020年优秀论文\C题.zip,20154,是,需解压后阅读
2020,第十七届,D,D题.zip,2020年研究生数学建模竞赛优秀论文选\2020年优秀论文\D题.zip,11697,是,需解压后阅读
2020,第十七届,E,E题.zip,2020年研究生数学建模竞赛优秀论文选\2020年优秀论文\E题.zip,26316,是,需解压后阅读
2020,第十七届,F,F题.zip,2020年研究生数学建模竞赛优秀论文选\2020年优秀论文\F题.zip,18594,是,需解压后阅读
2021,第十八届,A,A21102170024.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\A\A21102170024.pdf,1549,否,可直接阅读PDF
2021,第十八届,A,A21102480004.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\A\A21102480004.pdf,27576,否,可直接阅读PDF
2021,第十八届,A,A21102860059.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\A\A21102860059.pdf,1025,否,可直接阅读PDF
2021,第十八届,A,A21102860073.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\A21102860073.pdf,2408,否,可直接阅读PDF
2021,第十八届,A,A21102910019.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\A21102910019.pdf,1519,否,可直接阅读PDF
2021,第十八届,A,A21103580003.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\A\A21103580003.pdf,2491,否,可直接阅读PDF
2021,第十八届,A,A21106140105.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\A\A21106140105.pdf,2395,否,可直接阅读PDF
2021,第十八届,B,B21100130067.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21100130067.pdf,3749,否,可直接阅读PDF
2021,第十八届,B,B21100790043.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21100790043.pdf,9365,否,可直接阅读PDF
2021,第十八届,B,B21102510017.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21102510017.pdf,3215,否,可直接阅读PDF
2021,第十八届,B,B21102690002.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21102690002.pdf,2172,否,可直接阅读PDF
2021,第十八届,B,B21103530001.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21103530001.pdf,2669,否,可直接阅读PDF
2021,第十八届,B,B21105610069.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\B21105610069.pdf,4106,否,可直接阅读PDF
2021,第十八届,B,B21106990088.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\B21106990088.pdf,2878,否,可直接阅读PDF
2021,第十八届,B,B21107040042.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21107040042.pdf,9523,否,可直接阅读PDF
2021,第十八届,B,B21116640067.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\B\B21116640067.pdf,4880,否,可直接阅读PDF
2021,第十八届,C,C21100560011.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\C\C21100560011.pdf,3970,否,可直接阅读PDF
2021,第十八届,C,C21102470060.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\C\C21102470060.pdf,7772,否,可直接阅读PDF
2021,第十八届,C,C21102860153.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\C21102860153.pdf,4106,否,可直接阅读PDF
