年份,届次,题号,赛题名称,本地文件名,本地相对路径,大小KB,是否华为赛题
2022,第十九届,?,（赛题包内含题目原文）,2022年A题.zip,2022年中国研究生数学建模竞赛赛题\2022年A题.zip,23325,否
2022,第十九届,?,（赛题包内含题目原文）,2022年B题.zip,2022年中国研究生数学建模竞赛赛题\2022年B题.zip,909,否
2022,第十九届,?,（赛题包内含题目原文）,2022年C题.zip,2022年中国研究生数学建模竞赛赛题\2022年C题.zip,410,否
2022,第十九届,?,（赛题包内含题目原文）,2022年D题.zip,2022年中国研究生数学建模竞赛赛题\2022年D题.zip,147,否
2022,第十九届,?,（赛题包内含题目原文）,2022年E题.zip,2022年中国研究生数学建模竞赛赛题\2022年E题.zip,195964,否
2022,第十九届,?,（赛题包内含题目原文）,2022年F题.zip,2022年中国研究生数学建模竞赛赛题\2022年F题.zip,228715,否
2023,第二十届,A,WLAN网络信道接入机制建模,A题.rar,2023年中国研究生数学建模竞赛赛题\A题.rar,338,否
2023,第二十届,B,DFT类矩阵的整数分解逼近,B题.zip,2023年中国研究生数学建模竞赛赛题\B题.zip,201,否
2023,第二十届,C,大规模创新类竞赛评审方案研究,C题.rar,2023年中国研究生数学建模竞赛赛题\C题.rar,2347,否
2023,第二十届,D,区域双碳目标与路径规划研究,D题.rar,2023年中国研究生数学建模竞赛赛题\D题.rar,144,否
2023,第二十届,E,出血性脑卒中临床智能诊疗建模,E题.zip,2023年中国研究生数学建模竞赛赛题\E题.zip,1618,否
2023,第二十届,F,强对流降水临近预报,F题.rar,2023年中国研究生数学建模竞赛赛题\F题.rar,5084987,否
2024,第二十一届,?,（赛题包内含题目原文）,2.2024年中国研究生数学建模竞赛E题数据.rar,2024年中国研究生数学建模竞赛赛题\2.2024年中国研究生数学建模竞赛E题数据.rar,2471267,否
2024,第二十一届,?,（赛题包内含题目原文）,3.重要通知D题附带数据下载说明.docx,2024年中国研究生数学建模竞赛赛题\3.重要通知D题附带数据下载说明.docx,111,否
2024,第二十一届,?,（赛题包内含题目原文）,4.【提示】2024年中国研究生数学建模竞赛E题数据解压密码与赛题解压密码相同.txt,2024年中国研究生数学建模竞赛赛题\4.【提示】2024年中国研究生数学建模竞赛E题数据解压密码与赛题解压密码相同.txt,0,否
2024,第二十一届,?,（赛题包内含题目原文）,6.C题的更正说明.txt,2024年中国研究生数学建模竞赛赛题\6.C题的更正说明.txt,1,否
2024,第二十一届,?,（赛题包内含题目原文）,“华为杯”第二十一届中国研究生数学建模竞赛F题附录.docx,2024年中国研究生数学建模竞赛赛题\“华为杯”第二十一届中国研究生数学建模竞赛F题附录.docx,1294,否
2024,第二十一届,?,（赛题包内含题目原文）,数据集1.rar,2024年中国研究生数学建模竞赛赛题\D题附件数据集\数据集1\数据集1.rar,142176,否
2024,第二十一届,?,（赛题包内含题目原文）,数据集2.rar,2024年中国研究生数学建模竞赛赛题\D题附件数据集\数据集2\数据集2.rar,4484106,否
2024,第二十一届,?,（赛题包内含题目原文）,数据集3.rar,2024年中国研究生数学建模竞赛赛题\D题附件数据集\数据集3\数据集3.rar,295654,否
2024,第二十一届,?,（赛题包内含题目原文）,数据集4.rar,2024年中国研究生数学建模竞赛赛题\D题附件数据集\数据集4\数据集4.rar,10303,否
2024,第二十一届,?,（赛题包内含题目原文）,数据集5.rar,2024年中国研究生数学建模竞赛赛题\D题附件数据集\数据集5\数据集5.rar,838459,否
