年份,题号,论文/队伍编号,培养单位代码(编号解析),来源
2020,A,A20102460127,10246,本地历年优秀论文选
2020,A,A20102480161,10248,本地历年优秀论文选
2020,A,A20104870015,10487,本地历年优秀论文选
2020,A,A20106110086,10611,本地历年优秀论文选
2020,A,A20910040037,91004,本地历年优秀论文选
2020,B,B20100040057,10004,本地历年优秀论文选
2020,B,B20100050019,10005,本地历年优秀论文选
2020,B,B20102470089,10247,本地历年优秀论文选
2020,B,B20102940042,10294,本地历年优秀论文选
2020,B,B20102980116,10298,本地历年优秀论文选
2020,B,B20103350031,10335,本地历年优秀论文选
2020,B,B20103380015,10338,本地历年优秀论文选
2020,B,B20103580004,10358,本地历年优秀论文选
2020,B,B20104870036,10487,本地历年优秀论文选
2020,B,B20105340008,10534,本地历年优秀论文选
2020,B,B20106570027,10657,本地历年优秀论文选
2020,C,C20102470319,10247,本地历年优秀论文选
2020,C,C20102480095,10248,本地历年优秀论文选
2020,C,C20102520034,10252,本地历年优秀论文选
2020,C,C20102840089,10284,本地历年优秀论文选
2020,C,C20102860127,10286,本地历年优秀论文选
2020,C,C20106980009,10698,本地历年优秀论文选
2020,D,D20102470005,10247,本地历年优秀论文选
2020,D,D20102690110,10269,本地历年优秀论文选
2020,D,D20102860223,10286,本地历年优秀论文选
2020,D,D20107010019,10701,本地历年优秀论文选
2020,D,D20910240043,91024,本地历年优秀论文选
2020,D,D20910240065,91024,本地历年优秀论文选
2020,E,E20102690219,10269,本地历年优秀论文选
2020,E,E20104250114,10425,本地历年优秀论文选
2020,E,E20104590039,10459,本地历年优秀论文选
2020,E,E20104590100,10459,本地历年优秀论文选
2020,E,E20112870005,11287,本地历年优秀论文选
2020,E,E20114820008,11482,本地历年优秀论文选
2020,F,F20100070005,10007,本地历年优秀论文选
2020,F,F20102480125,10248,本地历年优秀论文选
2020,F,F20102690221,10269,本地历年优秀论文选
2020,F,F20102840100,10284,本地历年优秀论文选
2020,F,F20102920009,10292,本地历年优秀论文选
2020,F,F20105320023,10532,本地历年优秀论文选
2021,A,A21102170024,10217,本地历年优秀论文选
2021,A,A21102480004,10248,本地历年优秀论文选
2021,A,A21102860059,10286,本地历年优秀论文选
2021,A,A21103580003,10358,本地历年优秀论文选
2021,A,A21106140105,10614,本地历年优秀论文选
2021,B,B21100130067,10013,本地历年优秀论文选
2021,B,B21100790043,10079,本地历年优秀论文选
2021,B,B21102510017,10251,本地历年优秀论文选
2021,B,B21102690002,10269,本地历年优秀论文选
2021,B,B21103530001,10353,本地历年优秀论文选
2021,B,B21107040042,10704,本地历年优秀论文选
2021,B,B21116640067,11664,本地历年优秀论文选
2021,C,C21100560011,10056,本地历年优秀论文选
2021,C,C21102470060,10247,本地历年优秀论文选
2021,C,C21102920013,10292,本地历年优秀论文选
2021,C,C21102920019,10292,本地历年优秀论文选
2021,C,C21106980211,10698,本地历年优秀论文选
2021,D,D21101080006,10108,本地历年优秀论文选
2021,D,D21102700119,10270,本地历年优秀论文选
2021,D,D21102980066,10298,本地历年优秀论文选
2021,D,D21104860088,10486,本地历年优秀论文选
2021,D,D21116460003,11646,本地历年优秀论文选
2021,E,E21100030005,10003,本地历年优秀论文选
2021,E,E21103860006,10386,本地历年优秀论文选
2021,E,E21104080004,10408,本地历年优秀论文选
2021,E,E21105330243,10533,本地历年优秀论文选
2021,E,E21832010024,83201,本地历年优秀论文选
2021,F,F21102540382,10254,本地历年优秀论文选
2021,F,F21102870035,10287,本地历年优秀论文选
2021,F,F21102920005,10292,本地历年优秀论文选
2021,F,F21103360050,10336,本地历年优秀论文选
2021,F,F21104870099,10487,本地历年优秀论文选
2021,数模之星提名,A21102860073,10286,本地历年优秀论文选
2021,数模之星提名,A21102910019,10291,本地历年优秀论文选
2021,数模之星提名,B21105610069,10561,本地历年优秀论文选
2021,数模之星提名,B21106990088,10699,本地历年优秀论文选
2021,数模之星提名,C21102860153,10286,本地历年优秀论文选
2021,数模之星提名,C21104240047,10424,本地历年优秀论文选
2021,数模之星提名,D21102800176,10280,本地历年优秀论文选
2021,数模之星提名,D21103000002,10300,本地历年优秀论文选
2021,数模之星提名,E21103860005,10386,本地历年优秀论文选
2021,数模之星提名,E21104870136,10487,本地历年优秀论文选
2021,数模之星提名,F21102480018,10248,本地历年优秀论文选
2021,数模之星提名,F21103560049,10356,本地历年优秀论文选
2022,A,A22100070190,10007,本地历年优秀论文选
2022,A,A22100130054,10013,本地历年优秀论文选
2022,A,A22102460007,10246,本地历年优秀论文选
2022,A,A22103040090,10304,本地历年优秀论文选
2022,A,A22104860055,10486,本地历年优秀论文选
2022,A,A22107010047,10701,本地历年优秀论文选
2022,A,A22116460175,11646,本地历年优秀论文选
2022,B,B22100070171,10007,本地历年优秀论文选
2022,B,B22102860210,10286,本地历年优秀论文选
2022,B,B22103360018,10336,本地历年优秀论文选
2022,B,B22104870143,10487,本地历年优秀论文选
2022,B,B22105300030,10530,本地历年优秀论文选
2022,B,B22106140009,10614,本地历年优秀论文选
2022,B,B22110490001,11049,本地历年优秀论文选
2022,C,C22103190082,10319,本地历年优秀论文选
2022,C,C22103360057,10336,本地历年优秀论文选
2022,C,C22103560098,10356,本地历年优秀论文选
2022,C,C22105330245,10533,本地历年优秀论文选
2022,C,C22105930028,10593,本地历年优秀论文选
2022,C,C22106130232,10613,本地历年优秀论文选
2022,C,C22106140003,10614,本地历年优秀论文选
2022,D,D22102920026,10292,本地历年优秀论文选
2022,D,D22102930009,10293,本地历年优秀论文选
2022,D,D22103360092,10336,本地历年优秀论文选
2022,D,D22104760020,10476,本地历年优秀论文选
2022,D,D22106990096,10699,本地历年优秀论文选
2022,D,D22900310001,90031,本地历年优秀论文选
2022,D,D22910040028,91004,本地历年优秀论文选
2022,E,E22100160013,10016,本地历年优秀论文选
2022,E,E22103040108,10304,本地历年优秀论文选
2022,E,E22103350038,10335,本地历年优秀论文选
2022,E,E22104860014,10486,本地历年优秀论文选
2022,E,E22104870114,10487,本地历年优秀论文选
2022,E,E22106110005,10611,本地历年优秀论文选
2022,E,E22107100039,10710,本地历年优秀论文选
2022,F,F22100090053,10009,本地历年优秀论文选
2022,F,F22101470006,10147,本地历年优秀论文选
2022,F,F22102540295,10254,本地历年优秀论文选
2022,F,F22102980006,10298,本地历年优秀论文选
2022,F,F22103570053,10357,本地历年优秀论文选
2022,F,F22105330345,10533,本地历年优秀论文选
2022,F,F22106150018,10615,本地历年优秀论文选
2023,A,A23100070049,10007,本地历年优秀论文选
2023,A,A23102470073,10247,本地历年优秀论文选
2023,A,A23102480015,10248,本地历年优秀论文选
2023,A,A23102860239,10286,本地历年优秀论文选
2023,A,A23102890028,10289,本地历年优秀论文选
2023,A,A23103360079,10336,本地历年优秀论文选
2023,A,A23103840031,10384,本地历年优秀论文选
2023,A,A23104220005,10422,本地历年优秀论文选
2023,A,A23104860166,10486,本地历年优秀论文选
2023,A,A23105330383,10533,本地历年优秀论文选
2023,B,B23100070010,10007,本地历年优秀论文选
2023,B,B23100070173,10007,本地历年优秀论文选
2023,B,B23102870003,10287,本地历年优秀论文选
2023,B,B23102870182,10287,本地历年优秀论文选
2023,B,B23103360062,10336,本地历年优秀论文选
2023,B,B23104860044,10486,本地历年优秀论文选
2023,B,B23105580005,10558,本地历年优秀论文选
2023,B,B23106140164,10614,本地历年优秀论文选
2023,B,B23111170006,11117,本地历年优秀论文选
2023,C,C23102540029,10254,本地历年优秀论文选
2023,C,C23102890004,10289,本地历年优秀论文选
2023,C,C23102980125,10298,本地历年优秀论文选
2023,C,C23103360083,10336,本地历年优秀论文选
2023,C,C23103510013,10351,本地历年优秀论文选
2023,C,C23104080013,10408,本地历年优秀论文选
2023,C,C23106130016,10613,本地历年优秀论文选
2023,C,C23106570312,10657,本地历年优秀论文选
2023,C,C23107120024,10712,本地历年优秀论文选
2023,C,C23910020010,91002,本地历年优秀论文选
2023,D,D23100060041,10006,本地历年优秀论文选
2023,D,D23102690008,10269,本地历年优秀论文选
2023,D,D23102860126,10286,本地历年优秀论文选
2023,D,D23103560099,10356,本地历年优秀论文选
2023,D,D23104860011,10486,本地历年优秀论文选
2023,D,D23105330094,10533,本地历年优秀论文选
2023,D,D23106350004,10635,本地历年优秀论文选
2023,D,D23106740070,10674,本地历年优秀论文选
2023,D,D23116460172,11646,本地历年优秀论文选
2023,E,E23100650012,10065,本地历年优秀论文选
2023,E,E23102550019,10255,本地历年优秀论文选
2023,E,E23103530067,10353,本地历年优秀论文选
2023,E,E23103570015,10357,本地历年优秀论文选
2023,E,E23104030073,10403,本地历年优秀论文选
2023,E,E23105330424,10533,本地历年优秀论文选
2023,E,E23106730076,10673,本地历年优秀论文选
2023,E,E23106980022,10698,本地历年优秀论文选
2023,E,E23107030070,10703,本地历年优秀论文选
2023,E,E23900310014,90031,本地历年优秀论文选
2023,F,F23102520378,10252,本地历年优秀论文选
2023,F,F23102690048,10269,本地历年优秀论文选
2023,F,F23102860072,10286,本地历年优秀论文选
2023,F,F23103560002,10356,本地历年优秀论文选
2023,F,F23104040152,10404,本地历年优秀论文选
2023,F,F23105550004,10555,本地历年优秀论文选
2023,F,F23107010086,10701,本地历年优秀论文选
2023,F,F23107300013,10730,本地历年优秀论文选
2023,F,F23910020015,91002,本地历年优秀论文选
2023,F,F23910020096,91002,本地历年优秀论文选
2024,A,A24102940057,10294,本地历年优秀论文选
2024,A,A24103350007,10335,本地历年优秀论文选
2024,A,A24103530117,10353,本地历年优秀论文选
2024,A,A24107120016,10712,本地历年优秀论文选
2024,B,B24102860287,10286,本地历年优秀论文选
2024,B,B24103530099,10353,本地历年优秀论文选
2024,B,B24104760033,10476,本地历年优秀论文选
2024,B,B24116640167,11664,本地历年优秀论文选
2024,C,C24102890089,10289,本地历年优秀论文选
2024,C,C24103860012,10386,本地历年优秀论文选
2024,C,C24104220149,10422,本地历年优秀论文选
2024,C,C24106130096,10613,本地历年优秀论文选
2024,D,D24103850092,10385,本地历年优秀论文选
2024,D,D24104250063,10425,本地历年优秀论文选
2024,D,D24104460003,10446,本地历年优秀论文选
2024,D,D24106570027,10657,本地历年优秀论文选
2024,E,E24101480006,10148,本地历年优秀论文选
2024,E,E24102870008,10287,本地历年优秀论文选
2024,E,E24102910005,10291,本地历年优秀论文选
2024,E,E24106980067,10698,本地历年优秀论文选
2024,F,F24102870082,10287,本地历年优秀论文选
2024,F,F24103360083,10336,本地历年优秀论文选
2024,F,F24104860143,10486,本地历年优秀论文选
2024,F,F24910020063,91002,本地历年优秀论文选
2025,A,A题-1-通用神经网络处理器下的核内调度问题,,本地历年优秀论文选
2025,A,A题-2-通用神经网络处理器下的核内调度问题,,本地历年优秀论文选
2025,A,A题-NPU 核内调度算法设计与优化研究,,本地历年优秀论文选
2025,A,A题-面向 Davinci 架构的 NPU 核内调度算法研究,,本地历年优秀论文选
2025,B,B题-MIMO-OFDM 链路速率预测问题的建模研究,,本地历年优秀论文选
2025,B,B题-无线通信系统链路速率建模,,本地历年优秀论文选
2025,B,B题-机器学习驱动的面向 MIMO-OFDM 的链路速率预测,,本地历年优秀论文选
2025,C,C题-1-围岩裂隙精准识别与三维模型重构,,本地历年优秀论文选
2025,C,C题-2-围岩裂隙精准识别与三维模型重构,,本地历年优秀论文选
2025,C,C题-3-围岩裂隙精准识别与三维模型重构,,本地历年优秀论文选
2025,C,C题-基于 Frangi 滤波的钻孔裂隙识别与三维概率重构,,本地历年优秀论文选
2025,C,C题-基于钻孔裂隙智能识别的岩体结构面网络重构与稳定性分区研究,,本地历年优秀论文选
2025,D,D题-低空湍流监测及最优航路规划研究,,本地历年优秀论文选
2025,D,D题-基于多源数据融合的低空湍流监测与航路优化,,本地历年优秀论文选
2025,E,E题-基于迁移学习的高速列车轴承故障诊断研究,,本地历年优秀论文选
2025,E,E题-无监督迁移学习下的轴承故障诊断建模与优化,,本地历年优秀论文选
2025,E,E题-高速列车轴承智能故障诊断问题,,本地历年优秀论文选
2025,F,F题-1-江南古典园林的美学特征建模,,本地历年优秀论文选
2025,F,F题-2-江南古典园林的美学特征建模,,本地历年优秀论文选
2025,F,F题-多模态数据融合视角下江南古典园林美学特征量化建模研究,,本地历年优秀论文选
2025,F,F题-江南古典园林美学特征的量化建模与分析,,本地历年优秀论文选
